food_name,image_link,category,calories,fats (g),carbs (g),proteins (g),vitamins (mg),mood (-10 to 10),CLAIMED BY
Cheeseburger,https://upload.wikimedia.org/wikipedia/commons/4/4d/Cheeseburger.jpg,dinner,350,17,35,14,0,5,Sean
Coca Cola,https://img.freepik.com/free-photo/fresh-cola-drink-glass_144627-16201.jpg,drink,133,0,35,0,0,6,Tiffany
Potato Chips,https://scene7.samsclub.com/is/image/samsclub/0002840004393_B,snacks,149,9.5,15,1.8,0,4,Nashra
Granola Bar,https://previews.123rf.com/images/baibaz/baibaz1308/baibaz130800043/21968341-m%C3%BCsliriegel-mit-schokolade-auf-wei%C3%9Fem-hintergrund.jpg,snacks,172,5.7,29,3.6,0,,Nashra
Mixed Nuts,https://cdn11.bigcommerce.com/s-riqk6cih6h/images/stencil/1280x1280/products/1322/1920/100700_1__10319.1640022161.png?c=1,snacks,303,27,12,8.5,0,,Nashra
Brownie,https://upload.wikimedia.org/wikipedia/commons/6/68/Chocolatebrownie.JPG,dessert,117,1.2,14,1.7,0,,Nashra
Oatmeal Raisin Cookie,https://image.shutterstock.com/image-photo/oatmeal-raisin-cookie-isolated-on-260nw-223712485.jpg,dessert,55,1.8,9,1,0,1,Nashra
Candy,https://media.istockphoto.com/photos/colorful-lollipop-swirl-on-stick-isolated-on-white-background-striped-picture-id1181695027?k=20&m=1181695027&s=612x612&w=0&h=KS8TyhtKjNbfh-ENsoJ3zZxL5AOjeOyOaLxVdTAZQjo=,dessert,170,0,40,0,0,,Nashra
Chocolate Bar,https://media.istockphoto.com/photos/milk-chocolate-bar-isolated-on-white-background-picture-id1125768986?k=20&m=1125768986&s=170667a&w=0&h=c5YAdavEo3Rx7UcF0teGXORgRle_UP_uMgAnp1BFmeo=,snacks,213,13,26,3.1,0,,Nashra
Whole Milk,https://media.istockphoto.com/photos/milk-bottle-and-milk-glass-isolated-on-white-background-picture-id1081054200?k=20&m=1081054200&s=170667a&w=0&h=M6fND6-Z6aD-xvTmaA0m9VG9985ZUibSBvI_zVZEx94=,drink,149,8,12,8,0,,Nashra
Orange Juice,https://img.freepik.com/free-photo/slices-orange-glass-orange-juice-white-background_55716-3.jpg,drink,112,0.5,26,1.7,0,,Nashra
Milkshake,https://media.istockphoto.com/photos/strawberry-milkshake-picture-id157583034?b=1&k=20&m=157583034&s=170667a&w=0&h=OBvVkqTqDRTryoVo4sC6AC7RMn9HJsRvEgAqTrj-nAc=,drink,410,13,66,7,0,,Nashra
Mountain Dew,https://previews.123rf.com/images/denismart/denismart1706/denismart170600113/80140161-london-uk-june-9-2017-bottle-of-mountain-dew-drink-on-ice-isolated-on-white-background-mountain-dew-.jpg,drink,114,0.2,30,0.6,0,,Nashra
Oatmeal,https://media.istockphoto.com/photos/oatmeal-and-berries-bowl-picture-id538647045?k=20&m=538647045&s=612x612&w=0&h=ZbQn5AgX9S8Kqj0_Cf4tr2m7N8ZxsunOLv3qN-_d9_4=,breakfast,201,3.9,38,4.3,0,,Nashra
Omelette,https://thumbs.dreamstime.com/z/omelette-white-background-sliced-tomato-basil-made-beaten-eggs-stuffed-onion-cheese-tomatoes-106308017.jpg,breakfast,316,25,2.7,20,0,,Nashra
Pancakes,https://newhopemills.com/wp-content/uploads/2019/06/thanks_cakes.jpg,breakfast,345,14,46,8.8,0,,Nashra
Pizza,https://thumbs.dreamstime.com/b/slice-pizza-white-background-peperroni-isolate-227051550.jpg,dinner,400,16,50,16,0,,Nashra
Fried Chicken,https://previews.123rf.com/images/siraphol/siraphol1308/siraphol130801901/21868604-sma%C5%BCony-kurczak-na-bia%C5%82ym-tle.jpg,dinner,596,41,13,42,0,,Nashra
Salad,https://i.pinimg.com/originals/95/9b/06/959b060d59d88a6f2daa6ecc978f862d.jpg,dinner,290,24,13,7,0,,Nashra
Chicken Curry,https://media.istockphoto.com/photos/indian-chicken-curry-in-a-bowl-on-white-background-picture-id1181032587?k=20&m=1181032587&s=170667a&w=0&h=svk-0rCBUjdX__-2F_XOjmBUkHMH7mxpKoI3rUNtZuE=,dinner,345,12,45,15,0,,Nashra
Shawarma,https://t4.ftcdn.net/jpg/02/17/47/99/360_F_217479956_rjuhbdGnRZ8cn5g88A7ZyJoiujhATZkB.jpg,dinner,408,24,10,41,0,,Nashra
Noodles,https://c8.alamy.com/zooms/9/2122a82282c74132b84f62b9d8526cfe/2cdkjhx.jpg,dinner,490,19,72,10,0,,Nashra
Vanilla Ice Cream,https://img.freepik.com/free-vector/ice-cream-delicious-ice-cream-waffle-cone-vanilla-ice-cream-vector-illustration-isolated-white-background_538993-308.jpg?w=2000,dessert,279,15,32,4.7,442.1003,7,Tiffany
Grilled Cheese Sandwich,https://t3.ftcdn.net/jpg/01/96/24/30/360_F_196243096_25hEngJ8vFYYRmrL4gCYrHyQE71vu6jm.jpg,lunch,384,22,33,12,907.4029,3,Tiffany
Starbucks Mocha Frappe,https://www.pngitem.com/pimgs/m/112-1124185_starbucks-frappuccino-png-midnight-mint-mocha-frappuccino-transparent.png,drink,292,4.5,53,9,200,5,Tiffany
Waffles,https://live.staticflickr.com/7872/47550927852_389b0ae2dd_b.jpg,breakfast,592,30,68,14,722.8016,1,Tiffany
Instant Ramen,https://img.freepik.com/free-photo/uncooked-instant-noodles-isolated-white-background_185193-31592.jpg,lunch,290,11,38,7,22.7,2,Tiffany
Sushi Rolls,https://img.freepik.com/free-photo/rolls-isolated-white-background-close-up_185193-79254.jpg?t=st=1650566660~exp=1650567260~hmac=53a16feb3127f4b30fd55743dd359bb0273aee02fab764fbd0cb7f518f2053b6&w=1800,lunch,371,4.6,55,25,31.6001,3,Tiffany
Tortilla Wraps,https://img.freepik.com/free-photo/tortilla-wrap-with-falafel-vegetables-isolated-white-background_123827-20382.jpg?t=st=1650568264~exp=1650568864~hmac=34d84449dc288b81420e6e738392df90e6d2112cfc9f3923fb5de6850f1288d7&w=1800,lunch,120,4,30,10,121.4,2,Tiffany
Chocolate Cupcake,https://img.freepik.com/free-photo/close-up-tasty-chocolate-cupcake_1203-1901.jpg?t=st=1650568717~exp=1650569317~hmac=5e119a11cac85e88d1c89c2329d6f3a6302cc13aaf7d79156caabbc8b63f7a47&w=826,dessert,290,15,40,2,21.8,6,Tiffany
Chocolate Chip Muffin,https://img.freepik.com/free-photo/muffin-chocolate-chip-isolated_1101-2631.jpg?t=st=1650568870~exp=1650569470~hmac=662c4db3ca0ca195d494dcf0c78edb5d0fe1dc184a8b6fe19e8b5f84d9695a5d&w=1060,dessert,279,13,39,4,221.6004,5,Tiffany
Mango,https://img.freepik.com/free-photo/mango-peeled-cut-into-squares_1220-247.jpg?t=st=1650569105~exp=1650569705~hmac=5234c565dbabf3cc4df00ae2c3e5aba523eb4e997867aa482e5ed98dea04745b&w=1800,snacks,126,0.8,31,1.7,376.3,3,Tiffany
Cashews,https://img.freepik.com/free-photo/cashew-nuts-isolated-white_1401-472.jpg?t=st=1650569310~exp=1650569910~hmac=af8513f1ed9dbf9bb20c3b045e5dcd6d1086183c4b2f2c4c7facae1bf197aac7&w=1800,snacks,164,13,8.9,4.2,167.6,2,Tiffany
Garlic Bread,https://img.freepik.com/free-photo/garlic-herb-bread-slices_1339-2365.jpg?t=st=1650569489~exp=1650570089~hmac=f0caa2d8c9ed8524eb09a217493941779775921e83fe8005b490aaa49a4facd1&w=1800,breakfast,340,16.25,40,8.25,130.50025,4,Tiffany
Pink Sprinkled Donut,https://img.freepik.com/free-vector/vector-colorful-icon-pink-doughnut-isolated-white-background_134830-1096.jpg?t=st=1650570195~exp=1650570795~hmac=ab699611eb037b393c9cd3cc737002184fc1655d38e364b3e2805214c904e76d&w=1060,breakfast,260,13,32,4,1.8,5,Tiffany
Chicken Strips,https://img.freepik.com/free-photo/concept-fast-food-with-chicken-strips-isolated-white-background_185193-79826.jpg?t=st=1650570564~exp=1650571164~hmac=e7833823312e6dcef0ef8178bbb0ec38c2c9471627972370bdebc9943ba1d67b&w=1800,lunch,680,35,43,48,195.9001,6,Tiffany
Chicken Shish Kebab,https://img.freepik.com/free-photo/tasty-chicken-shashlik-isolated-white-background_185193-73541.jpg?t=st=1650570564~exp=1650571164~hmac=9f1919dcd811cf8e8d0b8eced852cf2c195058ce0f798703f0c1e98cd3060ba9&w=1800,lunch,157,5.7,7.7,20,401,3,Tiffany
Chamomile Tea,https://img.freepik.com/free-photo/close-up-tea-with-chamomile-flower-isolated-white_169016-16021.jpg?t=st=1650572314~exp=1650572914~hmac=16cc1f824f38da9c94df41a0c9c5b1df2bed7e18ef612db9c94e1edd569719cf&w=1800,drink,2.4,0,0.5,0,27,2,Tiffany
Coffee Latte,https://img.freepik.com/free-vector/hand-drawn-latte-art-drink_53876-99219.jpg?w=1060,drink,103,3.9,10,6.7,617,2,Tiffany
Cheesecake,https://img.freepik.com/free-photo/side-view-blue-cheesecake-with-different-berries-it-isolated-white_171337-12447.jpg?t=st=1650572737~exp=1650573337~hmac=e26b8f983d0212cc7bd391432c7efa306a53d1668e42c7e663c019d6fbeca282&w=1800,dessert,297,20,26,5.2,215.8004,6,Tiffany
Strawberries,https://img.freepik.com/free-photo/beautiful-strawberries-isolated-white_93675-135639.jpg?t=st=1650573491~exp=1650574091~hmac=2cc9838f5c048eebd2462805841b7acdc7b8d17623f1cc3544240247c2d59fd3&w=1800,snacks,6.6,0,1.5,0.3,36.3,3,Tiffany
Banana,https://th-thumbnailer.cdn-si-edu.com/4Nq8HbTKgX6djk07DqHqRsRuFq0=/1000x750/filters:no_upscale()/https://tf-cmsv2-smithsonianmag-media.s3.amazonaws.com/filer/d5/24/d5243019-e0fc-4b3c-8cdb-48e22f38bff2/istock-183380744.jpg,snacks,200,0.7,51,2.5,0,2,Sean
Mac and Cheese,https://images.ctfassets.net/o19mhvm9a2cm/6SLFia9epGlpdXdXWdZgw4/624faf07d1f5f6238a68eee5136521db/Website_Sides_MacNCheese.png,dinner,230,14,21,8,250,5,Sean
Ribeye Steak,https://media.eataly.com/media/catalog/product/cache/21/image/9df78eab33525d08d6e5fb8d27136e95/3/2/32128-dry-aged-boneless-ribeye_1.jpg,dinner,930,65,0,93,5,5,Sean
Celery,https://www.aldi.us/fileadmin/_processed_/8/f/csm_celery-desktop_0b7255d37d.jpg,snacks,14,0.2,3,0.7,500,1,Sean
Kale,https://www.veggycation.com.au/siteassets/veggycationvegetable/kale.jpg,snacks,7.4,0.3,0.9,0.6,2000,0,Sean
Apple,https://img.freepik.com/free-vector/red-apple-with-leaf-isolated_1284-42343.jpg?t=st=1650676011~exp=1650676611~hmac=7741a2a1f4e50f44f1ef124ea0041f2459f073eb70326219c7effa2b9a4e6fcf&w=740,snacks,95,0.3,25,0.5,206.2,3,Kailey
French Toast,https://www.pngitem.com/pimgs/m/180-1800875_download-french-toast-png-photo-french-toast-cartoon.png,breakfast,354,14.4,42,13.6,374.6,5,Kailey
Chili,https://img.freepik.com/free-photo/traditional-mexican-tex-mex-chili-con-carne-isolated-white-background_123827-19443.jpg?w=900,lunch,264,9.6,34,16,1062.8,4,Kailey
Burrito,https://img.freepik.com/free-photo/grilled-burrito-with-beef-vegetables-isolated-white-background_157927-18009.jpg?w=740,dinner,653,39,39,35,1044.4,8,Kailey
pho,https://img.freepik.com/free-photo/watercolor-vietnamese-soup-pho-isolated-white-background_91682-80.jpg?w=740,dinner,399,10,54,28,502,6,Kailey
pecan pie,https://previews.123rf.com/images/cokemomo/cokemomo1411/cokemomo141100018/33397347-a-slice-of-pecan-pie-isolated-on-white-background.jpg,dessert,464,19,68,5.1,139.2,7,Kailey
corn flakes with milk,https://img.freepik.com/free-photo/falling-corn-flakes-with-milk-splash-isolated-white-background_88281-5353.jpg?w=740,breakfast,210,0,45,9,572,3,Kailey
biscuit with gravy,https://img.freepik.com/free-photo/traditional-american-biscuits-gravy-breakfast-isolated_123827-17548.jpg?w=900,breakfast,493,32,37,14,510.2,4,Kailey
bagel with cream cheese,https://as1.ftcdn.net/v2/jpg/01/03/27/08/1000_F_103270897_cjKZsPE8NKTQy0AgLFrzqzopLg7UWjMy.jpg,breakfast,379,11,57,13,263.8,5,Kailey
avocado toast,https://img.freepik.com/free-photo/delicious-toast-with-avocado-isolated-white-background_185193-27477.jpg?w=900,lunch,190,13,17,4,360.9,4,Kailey
gyro,https://previews.123rf.com/images/boettcher/boettcher1305/boettcher130500005/19619235-gyros-pita-fastfood-mit-brot-auf-wei%C3%9Fem-hintergrund.jpg,lunch,651,19,72,46,976.7,5,Kailey
chicken caesar wrap,https://previews.123rf.com/images/griffin024/griffin0241604/griffin024160400124/57843649-two-chicken-caesar-salad-sandwich-wraps-on-a-plate-isolated-against-white.jpg,lunch,600,30,50,35,303.5,6,Kailey
fish tacos,https://img.freepik.com/free-photo/delicious-fish-tacos-isolated-white-top-view_495423-964.jpg?w=740,lunch,480,19.4,50,24,774,5,Kailey
beef fried rice,https://previews.123rf.com/images/ryzhkov86/ryzhkov861710/ryzhkov86171000082/87431327-teppanyaki-fried-rice-with-beef-vegetables-fresh-herbs-and-seasonings-in-dark-bowl-on-white-isolated.jpg,dinner,352,8,55,16,211.5,7,Kailey
corn nuts,https://previews.123rf.com/images/bwf211/bwf2111008/bwf211100800066/7564096-a-large-serving-of-roasted-and-salted-corn-nuts-on-a-white-background-.jpg,snacks,125,4.4,20,2.4,81,3,Kailey
beef jerky,https://previews.123rf.com/images/domnicky/domnicky1909/domnicky190900014/129301319-portion-of-beef-jerky-isolated-on-a-white-background-close-up-.jpg,snacks,116,9,3.1,9.4,176.2,4,Kailey
banana bread,https://img.freepik.com/free-photo/homemade-banana-bread-isolated-white-background_123827-16907.jpg?w=900,breakfast,240,9,39,3,1.1,4,Kailey
enchiladas,https://img.freepik.com/free-vector/enchilada-plate-mexican-traditional-food-vector-vintage-hatching-color-illustration-isolated-white-background-hand-drawn-design_496122-275.jpg?w=740,lunch,346,17.6,26,22,745.2,3,Kailey
